region,Base_Node_ids,Target_Node_ids
Upper Extremity - Right,85008042,7708
,85008565,7870
,85008678,7900
,85008681,7743
,85008756,7940
,85009176,7635
,85024093,7877
,85025189,7373
,85025240,7341
,85025254,7439
Upper Extremity - Left,86007494,5446
,86008042,4278
,86008565,4742
,86008678,4329
,86008681,4839
,86008756,4377
,86009176,5080
,86025240,5021
,86025254,4131
,86025360,4221
,86009171,5087
,85009171,7643
,86008490,4851
,86008099,4863
,86008268,4467
,86007905,4492
,86008592,5321
,86008549,4833
,85008490,8433
,85008099,8450
,85008268,8021
,85007905,8046
,85008592,8360
,85008549,8374
,86023897,5742
,85023897,7827
,86007479,4360
,85007479,7758
,86008680,4788
,85008680,7990
,86008046,4510
,85008046,7950
,86008981,5045
,86009072,4602
,86009095,4936
,85008981,7815
,85009072,7955
,85009095,7850
,86008246,4552
,86008247,5102
,86008389,4655
,86008396,4671
,85008246,8130
,85008247,8158
,85008389,8241
,85008396,8259
,86009160,5740
,85009160,7739
,86008027,4336
,86007844,4650
,86008259,4607
,86008629,4707
,85008027,7880
,85007844,8086
,85008259,8196
,85008629,8332
,86008018,4408
,86007840,4538
,86008266,4618
,86008612,4744
,85008018,7722
,85007840,8059
,85008266,8173
,85008612,8283
,89081149,6200
,89020782,5014
,89020811,2355
,89047027,6211
,89081365,2351
,89000054,6179
,89581149,7042
,89520782,8539
,89520811,6586
,89547027,6547
,89581365,6575
,89500054,7578
