region,Base_Node_ids,Target_Node_ids
,85007840,8059
,85007844,8086
,85008018,7722
,85008027,7880
,85008042,7708
,85008046,7950
,85008246,8130
,85008247,8158
,85008259,8196
,85008266,8173
,85008389,8241
,85008396,8259
,85008549,8374
,85008565,7870
,85008592,8360
,85008612,8283
,85008629,8332
,85008678,7900
,85008680,7990
,85008681,7743
,85008756,7940
,85008981,7815
,85009072,7955
,85009095,7850
,85009160,7739
,86007840,4538
,86007844,4650
,86008018,4408
,86008027,4336
,86008042,4278
,86008046,4510
,86008246,4552
,86008247,5102
,86008259,4607
,86008266,4618
,86008389,4655
,86008396,4671
,86008549,4833
,86008565,4742
,86008592,5321
,86008612,4744
,86008629,4707
,86008678,4329
,86008680,4788
,86008681,4839
,86008756,4377
,86008981,5045
,86009072,4602
,86009095,4936
,86009160,5740
,85007905,8046
,85008099,8450
,85008268,8021
,85008490,8433
,85023567,7877
,85023897,7827
,85024071,7758
,86007905,4492
,86008099,4863
,86008268,4467
,86008490,4851
,86023567,5446
,86023897,5742
,86024071,4360
