region,Base_Node_ids,Target_Node_ids
Lower Extremity - Right,81000836,9006
,81004684,9001
,81009489,8976
,81009522,8981
,81009525,8960
,81009635,8888
,81009667,8963
,81009673,8949
,81009695,8954
,81009701,8973
,81010197,8984
,81010301,8895
,81011365,9057
,81030576,7190
,81043720,6743
,81048200,9151
,81050375,6763
,81064176,6747
,81082562,6824
,81082754,6819
,81082834,6934
,81083050,6795
,81083282,6857
,81083287,7198
,81083297,6868
,81083302,7204
Lower Extremity - Left,82000836,5783
,82004509,5858
,82009489,5672
,82009522,5678
,82009525,5643
,82009635,5771
,82009667,5639
,82009673,5644
,82009695,5640
,82009701,5669
,82010197,5682
,82010301,5707
,82011365,5807
,82030576,3958
,82043720,2483
,82048200,3747
,82050375,2502
,82064176,5517
,82082562,2916
,82082754,6191
,82082834,3082
,82083050,4139
,82083282,3045
,82083287,4115
,82083297,3010
,82083302,4411
Abdomen and Pelvis,83000017,3849
,83000038,2435
,83000110,2430
,83000412,5566
,83007733,2405
,83008206,6146
,83500017,7241
,83500038,7181
,83500110,6659
,83507554,6626
Neck,87002297,3777
Head,88031441,575
,88277456,9210
,88277511,3054
,88277661,10039
,88277894,6311
,88277902,9352
,88277907,819
,88277912,3060
,88277927,6302
,88278084,9495
,88278204,1778
,88278547,9339
,88279623,1736
Thorax,89000067,5432
,89000069,5569
,89000740,2412
,89016905,5983
,89017484,5166
,89020909,4998
,89024327,5328
,89026190,6250
,89031387,2295
,89050804,5374
,89082205,6197
,89500740,6624
,89517484,8610
,89520909,7226
,89531387,6514
,82004534,5852
,81004534,9104
,82011514,5732
,81011514,8990
Upper Extremity - Right,85008042,7708
,85008565,7870
,85008678,7900
,85008681,7743
,85008756,7940
,85009176,7635
,85024093,7877
,85025189,7373
,85025240,7341
,85025254,7439
Upper Extremity - Left,86007494,5446
,86008042,4278
,86008565,4742
,86008678,4329
,86008681,4839
,86008756,4377
,86009176,5080
,86025240,5021
,86025254,4131
,86025360,4221
,86009171,5087
,85009171,7643
,86008490,4851
,86008099,4863
,86008268,4467
,86007905,4492
,86008592,5321
,86008549,4833
,85008490,8433
,85008099,8450
,85008268,8021
,85007905,8046
,85008592,8360
,85008549,8374
,86023897,5742
,85023897,7827
,86007479,4360
,85007479,7758
,86008680,4788
,85008680,7990
,86008046,4510
,85008046,7950
,86008981,5045
,86009072,4602
,86009095,4936
,85008981,7815
,85009072,7955
,85009095,7850
,86008246,4552
,86008247,5102
,86008389,4655
,86008396,4671
,85008246,8130
,85008247,8158
,85008389,8241
,85008396,8259
,86009160,5740
,85009160,7739
,86008027,4336
,86007844,4650
,86008259,4607
,86008629,4707
,85008027,7880
,85007844,8086
,85008259,8196
,85008629,8332
,86008018,4408
,86007840,4538
,86008266,4618
,86008612,4744
,85008018,7722
,85007840,8059
,85008266,8173
,85008612,8283
,89081149,6200
,89020782,5014
,89020811,2355
,89047027,6211
,89081365,2351
,89000054,6179
,89581149,7042
,89520782,8539
,89520811,6586
,89547027,6547
,89581365,6575
,89500054,7578
