Name,Property ID
R_WRIST_SKIN,85200801
R_UPPER_FLESH_SKIN,89700701
R_THIGH_SKIN,81200001
R_SURFACE_SKIN_NECK_OUT,87700101
R_LOWER_THIGH_SKIN,81200601
R_LOWER_FLESH_SKIN,89700801
R_KNEE_SKIN,81200401
R_HAND_SKIN,85201001
R_FOREARM_SKIN,85200501
R_FOOT_SKIN,81201301
R_ELBOW_SKIN,85200301
R_BUTTOCK_OUTER,83700101
R_ARM_SKIN,85200001
R_ANKLE_SKIN,81201101
L_WRIST_SKIN,86200801
L_UPPER_FLESH_SKIN,89200701
L_THIGH_SKIN,82200001
L_SURFACE_SKIN_NECK_OUT,87200101
L_LOWER_THIGH_SKIN,82200601
L_LOWER_FLESH_SKIN,89200801
L_KNEE_SKIN,82200401
L_HAND_SKIN,86201001
L_FOREARM_SKIN,86200501
L_FOOT_SKIN,82201301
L_ELBOW_SKIN,86200301
L_BUTTOCK_OUTER,83200101
L_ARM_SKIN,86200001
L_ANKLE_SKIN,82201101
head_skin_out_r,88000222
head_skin_out_l,88000230
face_skin_out_r,88000221
face_skin_out_l,88000229
face_skin_out_cr,88000223
face_skin_out_cl,88000231
